,Title,Year,Domestic Gross
0,Star Wars: Episode VII - The Force Awakens,2015,"$936,662,225"
1,Avengers: Endgame,2019,"$858,373,000"
2,Avatar,2009,"$760,507,625"
3,Black Panther,2018,"$700,059,566"
4,Avengers: Infinity War,2018,"$678,815,482"
5,Titanic,1997,"$659,363,944"
6,Jurassic World,2015,"$652,270,625"
7,The Avengers,2012,"$623,357,910"
8,Star Wars: Episode VIII - The Last Jedi,2017,"$620,181,382"
9,Incredibles 2,2018,"$608,581,744"
10,The Lion King,2019,"$543,638,043"
11,The Dark Knight,2008,"$535,234,033"
12,Rogue One: A Star Wars Story,2016,"$532,177,324"
13,Star Wars: Episode IX - The Rise of Skywalker,2019,"$515,202,542"
14,Beauty and the Beast,2017,"$504,014,165"
15,Finding Dory,2016,"$486,295,561"
16,Frozen II,2019,"$477,373,578"
17,Star Wars: Episode I - The Phantom Menace,1999,"$474,544,677"
18,Star Wars: Episode IV - A New Hope,1977,"$460,998,507"
19,Avengers: Age of Ultron,2015,"$459,005,868"
20,The Dark Knight Rises,2012,"$448,139,099"
21,Shrek 2,2004,"$441,226,247"
22,E.T. the Extra-Terrestrial,1982,"$435,110,554"
23,Toy Story 4,2019,"$434,038,008"
24,Captain Marvel,2019,"$426,829,839"
25,The Hunger Games: Catching Fire,2013,"$424,668,047"
26,Pirates of the Caribbean: Dead Man's Chest,2006,"$423,315,812"
27,The Lion King,1994,"$422,783,777"
28,Jurassic World: Fallen Kingdom,2018,"$417,719,760"
29,Toy Story 3,2010,"$415,004,880"
30,Wonder Woman,2017,"$412,563,408"
31,Iron Man 3,2013,"$409,013,994"
32,Captain America: Civil War,2016,"$408,084,349"
33,The Hunger Games,2012,"$408,010,692"
34,Spider-Man,2002,"$407,022,860"
35,Jumanji: Welcome to the Jungle,2017,"$404,540,171"
36,Jurassic Park,1993,"$402,828,120"
37,Transformers: Revenge of the Fallen,2009,"$402,111,870"
38,Frozen,2013,"$400,738,009"
39,Spider-Man: Far from Home,2019,"$390,532,085"
40,Guardians of the Galaxy Vol. 2,2017,"$389,813,101"
41,Harry Potter and the Deathly Hallows: Part 2,2011,"$381,409,310"
42,Finding Nemo,2003,"$380,843,261"
43,Star Wars: Episode III - Revenge of the Sith,2005,"$380,270,577"
44,The Lord of the Rings: The Return of the King,2003,"$377,845,905"
45,Spider-Man 2,2004,"$373,585,825"
46,The Passion of the Christ,2004,"$370,782,930"
47,The Secret Life of Pets,2016,"$368,384,330"
48,Despicable Me 2,2013,"$368,065,385"
49,The Jungle Book,2016,"$364,001,123"
50,Deadpool,2016,"$363,070,709"
51,Inside Out,2015,"$356,461,711"
52,Aladdin,2019,"$355,559,216"
53,Furious 7,2015,"$353,007,020"
54,Transformers: Dark of the Moon,2011,"$352,390,543"
55,American Sniper,2014,"$350,126,372"
56,The Lord of the Rings: The Two Towers,2002,"$342,551,365"
57,Zootopia,2016,"$341,268,248"
58,The Hunger Games: Mockingjay - Part 1,2014,"$337,135,885"
59,Spider-Man 3,2007,"$336,530,303"
60,Minions,2015,"$336,045,770"
61,Joker,2019,"$335,451,311"
62,Aquaman,2018,"$335,061,807"
63,Spider-Man: Homecoming,2017,"$334,201,140"
64,Alice in Wonderland,2010,"$334,191,110"
65,Guardians of the Galaxy,2014,"$333,176,600"
66,Forrest Gump,1994,"$330,455,270"
67,Batman v Superman: Dawn of Justice,2016,"$330,360,194"
68,It,2017,"$328,828,874"
69,Suicide Squad,2016,"$325,100,054"
70,Deadpool 2,2018,"$324,591,735"
71,Shrek the Third,2007,"$322,719,944"
72,Transformers,2007,"$319,246,193"
73,Iron Man,2008,"$318,604,126"
74,Harry Potter and the Sorcerer's Stone,2001,"$318,087,620"
75,Indiana Jones and the Kingdom of the Crystal Skull,2008,"$317,101,119"
76,Jumanji: The Next Level,2019,"$316,831,246"
77,The Lord of the Rings: The Fellowship of the Ring,2001,"$315,544,750"
78,Thor: Ragnarok,2017,"$315,058,289"
79,Iron Man 2,2010,"$312,433,331"
80,Star Wars: Episode II - Attack of the Clones,2002,"$310,676,740"
81,Pirates of the Caribbean: At World's End,2007,"$309,420,425"
82,Star Wars: Episode VI - Return of the Jedi,1983,"$309,306,177"
83,Independence Day,1996,"$306,169,268"
84,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"$305,413,918"
85,Skyfall,2012,"$304,360,277"
86,The Hobbit: An Unexpected Journey,2012,"$303,003,568"
87,Harry Potter and the Half-Blood Prince,2009,"$302,305,431"
88,The Twilight Saga: Eclipse,2010,"$300,531,751"
89,The Twilight Saga: New Moon,2009,"$297,816,253"
90,Harry Potter and the Deathly Hallows: Part 1,2010,"$296,347,721"
91,The Sixth Sense,1999,"$293,506,292"
92,Up,2009,"$293,004,164"
93,Inception,2010,"$292,576,195"
94,Harry Potter and the Order of the Phoenix,2007,"$292,353,413"
95,The Twilight Saga: Breaking Dawn - Part 2,2012,"$292,324,737"
96,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"$291,710,957"
97,Man of Steel,2013,"$291,045,518"
98,Harry Potter and the Goblet of Fire,2005,"$290,417,905"
99,Star Wars: Episode V - The Empire Strikes Back,1980,"$290,271,960"
100,"Monsters, Inc.",2001,"$289,916,256"
101,Home Alone,1990,"$285,761,243"
102,The Hunger Games: Mockingjay - Part 2,2015,"$281,723,902"
103,The Matrix Reloaded,2003,"$281,576,461"
104,The Twilight Saga: Breaking Dawn - Part 1,2011,"$281,287,133"
105,Meet the Fockers,2004,"$279,261,160"
106,The Hangover,2009,"$277,322,503"
107,Gravity,2013,"$274,092,705"
108,The Grinch,2018,"$270,620,950"
109,Sing,2016,"$270,395,425"
110,Monsters University,2013,"$268,492,764"
111,Shrek,2001,"$267,665,011"
112,Despicable Me 3,2017,"$264,624,300"
113,Harry Potter and the Chamber of Secrets,2002,"$262,450,136"
114,The Amazing Spider-Man,2012,"$262,030,663"
115,The Incredibles,2004,"$261,441,092"
116,How the Grinch Stole Christmas,2000,"$260,044,825"
117,Jaws,1975,"$260,000,000"
118,Captain America: The Winter Soldier,2014,"$259,766,572"
119,The Hobbit: The Desolation of Smaug,2013,"$258,366,855"
120,The Lego Movie,2014,"$257,760,692"
121,Star Trek,2009,"$257,730,019"
122,I Am Legend,2007,"$256,393,010"
123,The Blind Side,2009,"$255,959,475"
124,The Hobbit: The Battle of the Five Armies,2014,"$255,119,788"
125,The Hangover Part II,2011,"$254,464,305"
126,Despicable Me,2010,"$251,513,985"
127,Batman,1989,"$251,348,343"
128,Night at the Museum,2006,"$250,863,268"
129,Men in Black,1997,"$250,690,539"
130,Harry Potter and the Prisoner of Azkaban,2004,"$249,975,996"
131,Moana,2016,"$248,757,044"
132,Raiders of the Lost Ark,1981,"$248,159,971"
133,Toy Story 2,1999,"$245,852,179"
134,Transformers: Age of Extinction,2014,"$245,439,076"
135,Cars,2006,"$244,082,982"
136,Bruce Almighty,2003,"$242,829,261"
137,Ghostbusters,1984,"$242,582,079"
138,Twister,1996,"$241,721,524"
139,My Big Fat Greek Wedding,2002,"$241,438,208"
140,Maleficent,2014,"$241,410,378"
141,Pirates of the Caribbean: On Stranger Tides,2011,"$241,071,802"
142,Shrek Forever After,2010,"$238,736,787"
143,Fast &amp; Furious 6,2013,"$238,679,850"
144,Brave,2012,"$237,283,207"
145,Oz the Great and Powerful,2013,"$234,911,825"
146,Beverly Hills Cop,1984,"$234,760,478"
147,X-Men: The Last Stand,2006,"$234,362,462"
148,War of the Worlds,2005,"$234,280,354"
149,Fantastic Beasts and Where to Find Them,2016,"$234,037,575"
150,X-Men: Days of Future Past,2014,"$233,921,534"
151,Cast Away,2000,"$233,632,142"
152,The Exorcist,1973,"$232,906,145"
153,Doctor Strange,2016,"$232,641,920"
154,The Lost World: Jurassic Park,1997,"$229,086,679"
155,Justice League,2017,"$229,024,295"
156,Star Trek Into Darkness,2013,"$228,778,661"
157,The Martian,2015,"$228,433,663"
158,Signs,2002,"$227,966,634"
159,Hancock,2008,"$227,946,274"
160,The Bourne Ultimatum,2007,"$227,471,070"
161,Logan,2017,"$226,277,068"
162,Rush Hour 2,2001,"$226,164,286"
163,The Fate of the Furious,2017,"$226,008,385"
164,WALL·E,2008,"$223,808,164"
165,Big Hero 6,2014,"$222,527,828"
166,Toy Story,1995,"$222,498,679"
167,Mission: Impossible - Fallout,2018,"$220,159,104"
168,National Treasure: Book of Secrets,2007,"$219,964,115"
169,Alvin and the Chipmunks: The Squeakquel,2009,"$219,614,612"
170,Mrs. Doubtfire,1993,"$219,195,243"
171,Beauty and the Beast,1991,"$218,967,620"
172,Ted,2012,"$218,815,487"
173,King Kong,2005,"$218,080,025"
174,Ghost,1990,"$217,631,306"
175,How to Train Your Dragon,2010,"$217,581,231"
176,The Da Vinci Code,2006,"$217,536,138"
177,Aladdin,1992,"$217,350,219"
178,Alvin and the Chipmunks,2007,"$217,326,974"
179,Saving Private Ryan,1998,"$217,049,603"
180,Ant-Man and the Wasp,2018,"$216,648,740"
181,Bohemian Rhapsody,2018,"$216,428,042"
182,Madagascar 3: Europe's Most Wanted,2012,"$216,391,482"
183,Kung Fu Panda,2008,"$215,434,591"
184,Mission: Impossible II,2000,"$215,409,889"
185,A Star Is Born,2018,"$215,288,866"
186,X2: X-Men United,2003,"$214,949,694"
187,The Lorax,2012,"$214,030,500"
188,Solo: A Star Wars Story,2018,"$213,767,512"
189,Venom,2018,"$213,515,506"
190,Austin Powers in Goldmember,2002,"$213,307,889"
191,It Chapter Two,2019,"$211,593,228"
192,Back to the Future,1985,"$211,159,762"
193,300,2007,"$210,614,939"
194,Fast Five,2011,"$209,837,675"
195,Coco,2017,"$209,726,015"
196,Mission: Impossible - Ghost Protocol,2011,"$209,397,903"
197,Wedding Crashers,2005,"$209,255,921"
198,Sherlock Holmes,2009,"$209,028,679"
199,Dawn of the Planet of the Apes,2014,"$208,545,589"
200,Batman Begins,2005,"$206,852,432"
201,Charlie and the Chocolate Factory,2005,"$206,459,076"
202,Ratatouille,2007,"$206,445,654"
203,Thor: The Dark World,2013,"$206,362,140"
204,Austin Powers: The Spy Who Shagged Me,1999,"$206,040,086"
205,Terminator 2: Judgment Day,1991,"$205,881,154"
206,Bad Boys for Life,2020,"$204,417,855"
207,The Amazing Spider-Man 2,2014,"$202,853,933"
208,World War Z,2013,"$202,359,711"
209,The Mummy Returns,2001,"$202,019,785"
210,Armageddon,1998,"$201,578,182"
211,Cinderella,2015,"$201,151,353"
212,Ralph Breaks the Internet,2018,"$201,091,711"
213,Gone with the Wind,1939,"$200,852,579"
214,Tangled,2010,"$200,821,936"
215,Godzilla,2014,"$200,676,069"
216,Superman Returns,2006,"$200,081,192"
217,Spectre,2015,"$200,074,609"
218,Pearl Harbor,2001,"$198,542,554"
219,Monsters vs. Aliens,2009,"$198,351,526"
220,Happy Feet,2006,"$198,000,317"
221,Indiana Jones and the Last Crusade,1989,"$197,171,806"
222,Ice Age: Dawn of the Dinosaurs,2009,"$196,573,705"
223,Ice Age: The Meltdown,2006,"$195,330,621"
224,Mission: Impossible - Rogue Nation,2015,"$195,042,377"
225,Twilight,2008,"$193,962,473"
226,Men in Black II,2002,"$193,735,288"
227,Madagascar,2005,"$193,595,521"
228,22 Jump Street,2014,"$191,719,337"
229,Cars 2,2011,"$191,452,396"
230,Teenage Mutant Ninja Turtles,2014,"$191,204,754"
