,title,rt_critic_rating,rt_audience_rating,network,season_ratings
0,La Casa de Papel,91.0,82.0,Netflix,"[nan, 100, 100, 75]"
1,Ozark,81.0,91.0,Netflix,"[70, 76, 97]"
2,Tiger King,86.0,86.0,Netflix,[86]
3,Westworld,85.0,80.0,HBO,"[87, 86, 83]"
4,The Walking Dead,81.0,78.0,AMC,"[88, 83, 90, 76, 64, 64, 91, 91]"
5,Community,88.0,88.0,NBC,"[90, 100, 91, 65, 93, 89]"
6,Better Call Saul,97.0,96.0,AMC,"[97, 97, 97, 99, 99]"
7,Unorthodox,93.0,94.0,Netflix,[93]
8,Game of Thrones,89.0,86.0,HBO,"[90, 96, 96, 97, 93, 94, 93, 58]"
9,Tales from the Loop,82.0,79.0,Amazon,[82]
10,Breaking Bad,96.0,98.0,AMC,"[86, 97, 100, 100, 97]"
11,Grey's Anatomy,83.0,80.0,ABC,"[100, 91, 91, 100, 89, 93, 100, 100]"
12,Homeland,85.0,86.0,Showtime,"[100, 93, 80, 81, 88, 78, 80, 84]"
13,The Office,81.0,92.0,NBC,"[100, 100, 83, 100, 73, 83, 44, 78]"
14,Schitt's Creek,92.0,96.0,POP,"[63, 100, nan, 100, nan, 100, 100]"
15,Peaky Blinders,92.0,94.0,Netflix,"[87, 100, 100, 93, 84]"
16,Modern Family,85.0,87.0,ABC,"[67, 90, 100, 67, nan, nan, nan, 83]"
17,Outlander,92.0,90.0,Starz,"[91, 92, 93, 88, 96]"
18,The Mandalorian,93.0,93.0,Disney+,[93]
19,Vikings,93.0,89.0,History,"[82, 93, 100, 92, 91, 100]"
20,Little Fires Everywhere,78.0,65.0,Hulu,[78]
21,Homecoming,98.0,71.0,Amazon Prime Video,[98]
22,Brooklyn Nine-Nine,97.0,93.0,FOX; NBC,"[89, 100, 93, 100, 100, 100, 100]"
23,Supernatural,93.0,86.0,CW,"[63, 100, 100, 90, 100, 100, 90, 100]"
24,All American,96.0,,CW,"[92, 100, nan]"
25,Stranger Things,93.0,91.0,Netflix,"[97, 94, 89, nan]"
26,The Blacklist,91.0,89.0,NBC,"[82, 83, 93, 90, 100, 100, nan]"
27,Killing Eve,92.0,88.0,BBC America/AMC,"[96, 93, 87]"
28,Friends,78.0,94.0,NBC,"[nan, nan, 100, 100, nan, 100, 20, 86]"
29,Star Trek: Picard,87.0,60.0,CBS,[87]
30,Black Mirror,83.0,81.0,Netflix,"[98, 87, 89, 86, 85, 72, 68]"
31,Lucifer,87.0,85.0,FOX/Netflix ,"[49, 100, 100, 100]"
32,Devs,81.0,69.0,Hulu,[81]
33,Criminal Minds,87.0,,CBS,"[nan, nan, nan, nan, nan, nan, nan, nan]"
34,Panchayat,,,,[]
35,Elite,97.0,88.0,Netflix,"[100, 91, 100]"
36,The Witcher,67.0,92.0,Netflix,"[67, nan]"
37,Rick and Morty,95.0,94.0,Cartoon Network,"[96, 91, 96, 100]"
38,The Wire,94.0,97.0,HBO,"[85, 95, 100, 100, 93]"
39,Home Before Dark,80.0,95.0,Apple TV+,[80]
40,The Big Show Show,84.0,,Netflix,[nan]
41,The Sopranos,92.0,98.0,HBO,"[100, 94, 100, 91, 92, 89, 83]"
42,Dark,94.0,94.0,Netflix,"[89, 100]"
43,The Flash,89.0,71.0,CW,"[92, 94, 85, 79, 94, 91]"
44,Sex Education,94.0,,Netflix,"[91, 97, nan]"
45,Hunters,59.0,,SyFy,[nan]
46,Fargo,96.0,93.0,FX,"[97, 100, 93, nan]"
47,Prison Break,60.0,77.0,FOX,"[77, 71, 50, 50, 55]"
48,Future Man,91.0,83.0,Hulu,"[82, 100, nan]"
49,Hawaii Five-0,72.0,,CBS,"[nan, 100, nan, nan, nan, nan, nan, nan]"
50,The Outsider,82.0,85.0,HBO,[82]
51,Law & Order: Special Victims Unit,93.0,,NBC,"[nan, nan, nan, nan, nan, nan, 100, nan]"
52,Altered Carbon,76.0,64.0,Netflix,"[68, 85]"
53,The Good Doctor,85.0,,ABC,"[63, nan, nan]"
54,Suits,90.0,86.0,USA,"[85, 83, 100, 100, 100, 93, 100, 80]"
55,The Handmaid's Tale,88.0,77.0,Hulu,"[94, 89, 81, nan]"
56,Legacies,84.0,,CW,"[82, nan, nan]"
57,Freud,50.0,,Netflix,[50]
58,How to Get Away with Murder,90.0,86.0,ABC,"[85, 93, 90, 100, 83, nan]"
59,Star Wars: The Clone Wars,93.0,90.0,Cartoon Network,"[67, nan, 100, nan, 100, 100, 100]"
60,Shameless,85.0,83.0,Showtime,"[92, 100, 92, 100, 88, 100, 70, 40]"
61,Locke & Key,66.0,70.0,Netflix,"[66, nan]"
62,American Horror Story,76.0,,FX,"[84, 83, 78, 64, 74, 73, 75, 87]"
63,Mad Men,94.0,96.0,AMC,"[85, 100, 97, 94, 97, 98, 89]"
64,The Crown,89.0,90.0,Netflix,"[89, 89, 90, nan]"
65,Chernobyl,96.0,98.0,HBO,[96]
66,NCIS,87.0,,CBS,"[nan, nan, nan, nan, nan, nan, nan, nan]"
67,The 100,92.0,78.0,CW,"[76, 100, 83, 93, 100, 100]"
