,title,imdb_rating,num_imdb_ratings,url,genres,tv_rating,release_year,runtime_mins
0,La Casa de Papel,8.5,215007,https://www.imdb.com/title/tt6468322/,"['action', 'crime', 'mystery', 'thriller']",TV-MA,2017.0,70.0
1,Ozark,8.4,136710,https://www.imdb.com/title/tt5071412/,"['crime', 'drama', 'thriller']",TV-MA,2017.0,60.0
2,Tiger King,7.8,33700,https://www.imdb.com/title/tt11823076/,"['documentary', 'crime']",TV-MA,2020.0,31.0
3,Westworld,8.7,388252,https://www.imdb.com/title/tt0475784/,"['drama', 'mystery', 'sci-fi', 'western']",TV-MA,2016.0,62.0
4,The Walking Dead,8.2,821809,https://www.imdb.com/title/tt1520211/,"['drama', 'horror', 'thriller']",TV-14,2010.0,44.0
5,Community,8.5,185048,https://www.imdb.com/title/tt1439629/,['comedy'],TV-14,2009.0,22.0
6,Better Call Saul,8.7,280536,https://www.imdb.com/title/tt3032476/,"['crime', 'drama']",TV-MA,2015.0,46.0
7,Unorthodox,8.2,15568,https://www.imdb.com/title/tt9815454/,['drama'],TV-MA,2020.0,21.0
8,Game of Thrones,9.3,1658978,https://www.imdb.com/title/tt0944947/,"['action', 'adventure', 'drama', 'fantasy', 'romance']",TV-MA,2011.0,57.0
9,Tales from the Loop,7.5,3362,https://www.imdb.com/title/tt8741290/,"['drama', 'sci-fi']",TV-MA,2020.0,
10,Breaking Bad,9.5,1332330,https://www.imdb.com/title/tt0903747/,"['crime', 'drama', 'thriller']",TV-MA,2008.0,49.0
11,Grey's Anatomy,7.6,231121,https://www.imdb.com/title/tt0413573/,"['drama', 'romance']",TV-14,2005.0,41.0
12,Homeland,8.3,293795,https://www.imdb.com/title/tt1796960/,"['crime', 'drama', 'mystery', 'thriller']",TV-MA,2011.0,55.0
13,The Office,8.9,348547,https://www.imdb.com/title/tt0386676/,['comedy'],TV-14,2005.0,22.0
14,Schitt's Creek,8.3,30569,https://www.imdb.com/title/tt3526078/,['comedy'],TV-14,2015.0,22.0
15,Peaky Blinders,8.8,276218,https://www.imdb.com/title/tt2442560/,"['crime', 'drama']",TV-MA,2013.0,60.0
16,Modern Family,8.4,325823,https://www.imdb.com/title/tt1442437/,"['comedy', 'drama', 'romance']",TV-PG,2009.0,22.0
17,Outlander,8.4,108101,https://www.imdb.com/title/tt3006802/,"['drama', 'fantasy', 'romance']",TV-MA,2014.0,64.0
18,The Mandalorian,8.7,153512,https://www.imdb.com/title/tt8111088/,"['action', 'adventure', 'sci-fi']",TV-PG,2019.0,30.0
